Loss,Accuracy
2.28084135055542,0.4922295808792114
0.7823546528816223,0.8250499963760376
0.5295296907424927,0.8776735067367554
0.4086054563522339,0.9018310308456421
0.35442429780960083,0.9113709926605225
0.29686200618743896,0.9275273084640503
0.2646225392818451,0.9316818118095398
0.23598171770572662,0.9396830201148987
0.21305158734321594,0.9449145793914795
0.19164757430553436,0.9467610120773315
0.17068979144096375,0.9546083807945251
0.1626395732164383,0.9559932351112366
0.14868198335170746,0.9606093168258667
0.1432466357946396,0.9573780298233032
0.13413730263710022,0.9607632160186768
0.12417726963758469,0.9623019099235535
0.11868147552013397,0.9656870365142822
0.11117447912693024,0.969226062297821
0.11671577394008636,0.9639944434165955
0.10053517669439316,0.9686105847358704
0.09685204178094864,0.969995379447937
0.09333478659391403,0.9732266664505005
0.09083893895149231,0.9724572896957397
0.09596629440784454,0.9704570174217224
0.08107924461364746,0.9764578938484192
0.07832013070583344,0.9775350093841553
0.0823831781744957,0.9776888489723206
0.08220689743757248,0.9738421440124512
0.076955646276474,0.9758424162864685
0.07750190794467926,0.9747653603553772
